,number,id,title,description,PERCEPTION,INPUT,PROCESSING,UNDERSTANDING
19,504,ae-204-ab,Technical Fluid Mechanics.,"External and internal flow problems encountered in engineering, for which only empirical methods exist. Turbulent shear flow, separation, transition, three-dimensional and nonsteady effects. Basis of engineering practice in the design of devices such as mixers, ejectors, diffusers, and control valves. Studies of flow-induced oscillations, wind effects on structures, vehicle aerodynamics. Not offered 2021-2022.",-10,-10,10,-10
20,601,ae-205-ab,Advanced Space Project.,"This is an advanced course on the design and implementation of space projects and it is currently focused on the flight project Autonomous Assembly of a Reconfigurable Space Telescope (AAReST). The objective is to be ready for launch and operation in 2015. Each student will be responsible for a specific activity, chosen from the following: optimization of telescope system architecture; design, assembly and testing of telescope optics; telescope calibration procedure and algorithms for wavefront control; thermal analysis; boom design and deployment test methods; effects of spacecraft dynamics on telescope performance; environmental testing of telescope system. Each student will prepare a survey of the state of the art for the selected activity, and then develop a design/implementation plan, execute the plan and present the results in a final report. Not offered 2021-2022.",-10,-10,-10,10
21,602,ae-208-abc,GALCIT Colloquium.,"A seminar course in fluid, solid, space, and bio mechanics. Weekly lectures on current developments are presented by staff members, graduate students, and visiting scientists and engineers. Graded pass/fail.",-10,10,-10,10
22,603,aeammsme-213,Mechanics and Materials Aspects of Fracture.,"Analytical and experimental techniques in the study of fracture in metallic and nonmetallic solids. Mechanics of brittle and ductile fracture; connections between the continuum descriptions of fracture and micromechanisms. Discussion of elastic-plastic fracture analysis and fracture criteria. Special topics include fracture by cleavage, void growth, rate sensitivity, crack deflection and toughening mechanisms, as well as fracture of nontraditional materials. Fatigue crack growth and life prediction techniques will also be discussed. In addition, ""dynamic"" stress wave dominated, failure initiation growth and arrest phenomena will be covered. This will include traditional dynamic fracture considerations as well as discussions of failure by adiabatic shear localization. Not offered 2021-2022.",-10,10,-10,10
23,604,aeamceme-214,Computational Solid Mechanics.,"This course focuses on the analysis of elastic thin shell structures in the large deformation regime. Problems of interest include softening behavior, bifurcations, loss of stability and localization. Introduction to the use of numerical methods in the solution of solid mechanics and multiscale mechanics problems. Variational principles. Finite element and isogeometric formulations for thin shells. Time integration, initial boundary value problems. Error estimation. Accuracy, stability and convergence. Iterative solution methods. Adaptive strategies.",10,-10,10,-10
24,701,aeamme-215,Dynamic Behavior of Materials.,"Fundamentals of theory of wave propagation; plane waves, wave guides, dispersion relations; dynamic plasticity, adiabatic shear banding; dynamic fracture; shock waves, equation of state. Ravichandran.",-10,10,10,10
25,702,aemeaph-218,Statistical Mechanics.,"Overview of probability and statistics, and the Maxwell-Boltzmann distribution. Overview and elements of Quantum Mechanics, degenerate energy states, particles in a box, and energy-state phase space. Statistics of indistinguishable elementary particles, Fermi-Dirac and Bose-Einstein statistics, partition functions, connections with classical thermodynamics, and the Law of Equipartition. Examples from equilibrium in fluids, solid-state physics, and others. Not offered 2021-2022.",-10,-10,-10,-10
26,703,ae-220,Theory of Structures.,"Fundamentals of buckling and stability, total potential energy and direct equilibrium approaches; classification of instabilities into snap-through and bifurcations; eigenvalues and eigenvectors of stiffness matrix; Rayleigh-Ritz estimates of buckling loads; buckling of columns; imperfection sensitivity; elastic-plastic buckling; buckling of plates and shells. Selected topics: localization and wrinkling; design of imperfection insensitive shells and other topics. Not offered 2021-2022.",10,10,10,10
27,704,aece-221,Space Structures.,"This course examines the links between form, geometric shape, and structural performance. It deals with different ways of breaking up a continuum, and how this affects global structural properties; structural concepts and preliminary design methods that are used in tension structures and deployable structures. Geometric foundations, polyhedra and tessellations, surfaces; space frames, examples of space frames, stiffness and structural efficiency of frames with different repeating units; sandwich plates; cable and membrane structures, form-finding, wrinkle-free pneumatic domes, balloons, tension-stabilized struts, tensegrity domes; deployable and adaptive structures, coiled rods and their applications, flexible shells, membranes, structural mechanisms, actuators, concepts for adaptive trusses and manipulators.",-10,10,-10,10
28,801,aeamme-223,Plasticity.,"Theory of dislocations in crystalline media. Characteristics of dislocations and their influence on the mechanical behavior in various crystal structures. Application of dislocation theory to single and polycrystal plasticity. Theory of the inelastic behavior of materials with negligible time effects. Experimental background for metals and fundamental postulates for plastic stress-strain relations. Variational principles for incremental elastic-plastic problems, uniqueness. Upper and lower bound theorems of limit analysis and shakedown. Slip line theory and applications. Additional topics may include soils, creep and rate-sensitive effects in metals, the thermodynamics of plastic deformation, and experimental methods in plasticity. Not offered 2021-2022.",10,10,10,10
29,802,memsaeam-224,Multifunctional Materials.,"Multiscale view of materials and different approaches of introducing functionality; Electronic aspects and multiferroic materials; Symmetry breaking phase transformations, microstructure: shape-memory alloys, ferroelectrics, liquid crystal elastomers; Composite materials and metamaterials: multifunctional structures. Not offered 2021-2022.",10,-10,10,10
30,803,aeammege-225,Special Topics in Solid Mechanics.,Subject matter changes depending on staff and student interest.,10,-10,-10,-10
31,804,aeacmme-232-ab,Computational Fluid Dynamics.,"Development and analysis of algorithms used in the solution of fluid mechanics problems. Numerical analysis of discretization schemes for partial differential equations including interpolation, integration, spatial discretization, systems of ordinary differential equations; stability, accuracy, aliasing, Gibbs and Runge phenomena, numerical dissipation and dispersion; boundary conditions. Survey of finite difference, finite element, finite volume and spectral approximations for the numerical solution of the incompressible and compressible Euler and Navier-Stokes equations, including shock-capturing methods.",-10,10,10,10
32,901,ae-233,Hydrodynamic Stability.,"Laminar-stability theory as a guide to laminar-turbulent transition. Rayleigh equation, instability criteria, and response to small inviscid disturbances. Discussion of Kelvin-Helmholtz, Rayleigh-Taylor, Richtmyer-Meshkov, and other instabilities, for example, in geophysical flows. The Orr-Sommerfeld equation, the dual role of viscosity, and boundary-layer stability. Weakly nonlinear stability theory and phenomenological theories of turbulence. Not offered 2021-2022.",-10,-10,-10,10
33,902,ae-234-ab,Hypersonic Aerodynamics.,"An advanced course dealing with aerodynamic problems of flight at hyper-sonic speeds. Topics are selected from hypersonic small-disturbance theory, blunt-body theory, boundary layers and shock waves in real gases, heat and mass transfer, testing facilities and experiment. Not offered 2021-2022.",-10,-10,-10,-10
34,903,ae-235,Rarefied Gasdynamics.,"Molecular description of matter; distribution functions; discrete-velocity gases. Kinetic theory: free-path theory, internal degrees of freedom. Boltzmann equation: BBGKY hierarchy and closure, H theorem, Euler equations, Chapman-Enskog procedure, free-molecule flows. Collisionless and transitional flows. Direct simulation Monte Carlo methods. Applications. Not offered 2021-2022.",-10,10,-10,-10
35,904,ae-237-ab,Nonsteady Gasdynamics.,"Part a: dynamics of shock waves, expansion waves, and related discontinuities in gases. Adiabatic phase-transformation waves. Interaction of waves in one- and two-dimensional flows. Boundary layers and shock structure. Applications and shock tube techniques. Part b: shock and detonation waves in solids and liquids. Equations of state for hydrodynamic computations in solids, liquids, and explosive reaction products. CJ and ZND models of detonation in solids and liquids. Propagation of shock waves and initiation of reaction in explosives. Interactions of detonation waves with water and metals.",-10,-10,10,-10
36,1001,ae-239-ab,Turbulence.,Reynolds-averaged equations and the problem of closure. Statistical description of turbulence. Homogeneous isotropic turbulence and structure of fine scales. Turbulent shear flows. Physical and spectral models. Subgridscale modeling. Turbulent mixing. Structure of low and high Reynolds number wall turbulence. Not offered 2021-2022.,10,10,-10,-10
37,1002,ae-240,Special Topics in Fluid Mechanics.,"Topics and subject matter descriptions change each year depending upon staff and student interest. Proposed topics for AY 21-22:

1. <b>First, second and third terms: Educational exchange at Ecole Polytechnique.</b> <i>Students participating in the Ecole Polytechnique educational exchange must register for 36 units while they are on detached duty at Ecole Poly-technique.</i> Instructor: Meiron.
          
2. <b>Second term: Topics in Thermodynamics.</b> <i>9 units (3-0-6); Prerequisites: Ae/ME118, or equivalent.</i> Advances discussions on and extends topics covered in Ae/ME118. Forms of work and heat. Formulations of equations of state, compressibility functions, and applications of the Law of Corresponding States. Thermodynamic potentials and their estimation, phase equilibrium and transitions, chemically reacting systems. Elements of Classical and Quantum Statistics, equipartition, thermal equilibrium of harmonic-oscillator and normal-mode systems, black-body spectrum and radiation. Heat capacity of gases, liquids, and solids. Applications and examples from fluid dynamics, solid mechanics, energy systems, and thermal sciences. Instructor: Dimotakis.

3. <b>Second term: Topics in Wind Energy.</b> <i>9 units (3-0-6)</i> <i>Topics in Wind Energy An introduction to the analysis and modeling of wind energy resources and their extraction.</i> Topics include the physical origins of atmospheric winds; vertical profiles of wind speed and turbulence over land and sea; the wind energy spectrum and its modification by natural topography and built environments; theoretical limits on wind energy extraction by wind turbines and wind farms; modeling of wind turbine aerodynamics and wind farm performance. Instructor: Dabiri.",10,-10,10,10
38,1003,ae-241,Special Topics in Experimental Fluid and Solid Mechanics.,"Units to be arranged; first, second, third terms. Subject matter changes depending upon staff and student interest.",10,-10,10,10
39,1004,aebe-242,Biological Flows: Propulsion.,"Physical principles of unsteady fluid momentum transport: equations of motion, dimensional analysis, conservation laws. Unsteady vortex dynamics: vorticity generation and dynamics, vortex dipoles/rings, wake structure in unsteady flows. Life in moving fluids: unsteady drag, added-mass effects, virtual buoyancy, bounding and schooling, wake capture. Thrust generation by flapping, undulating, rowing, jetting. Low Reynolds number propulsion. Bioinspired design of propulsion devices.",-10,10,10,10
40,1101,medebeae-243,Physiological Mechanics.,"Internal flows: steady and pulsatile blood flow in compliant vessels, internal flows in organisms. Fluid dynamics of the human circulatory system: heart, veins, and arteries (microcirculation). Mass and momentum transport across membranes and endothelial layers. Fluid mechanics of the respiratory system. Renal circulation and circulatory system. Biological pumps. Low and High Reynolds number locomotion.",10,10,-10,10
41,1102,ae-250,Reading and Independent Study.,Graded pass/fail only.,-10,10,-10,10
42,1103,aecdsme-251-ab,Closed Loop Flow Control.,"This course seeks to introduce students to recent developments in theoretical and practical aspects of applying control to flow phenomena and fluid systems. Lecture topics in the second term drawn from: the objectives of flow control; a review of relevant concepts from classical and modern control theory; high-fidelity and reduced-order modeling; principles and design of actuators and sensors. Third term: laboratory work in open- and closed-loop control of boundary layers, turbulence, aerodynamic forces, bluff body drag, combustion oscillations and flow-acoustic oscillations. Not offered 2021-2022.",10,-10,10,-10
43,1104,aeamcemege-265-ab,"Static and Dynamic Failure of Brittle Solids and Interfaces, from the Micro to the Mega.","Linear elastic fracture mechanics of homogeneous brittle solids (e.g. geo-materials, ceramics, metallic glasses); small scale yielding concepts; experimental methods in fracture, fracture of bi-material interfaces with applications to composites as well as bonded and layered engineering and geological structures; thin-film and micro-electronic components and systems; dynamic fracture mechanics of homogeneous engineering materials; dynamic shear dominated failure of coherent and incoherent interfaces at all length scales; dynamic rupture of frictional interfaces with application to earthquake source mechanics; allowable rupture speeds regimes and connections to earthquake seismology and the generation of Tsunamis. Not offered 2021-2022.",10,10,-10,10
44,1105,aeamcemege-265-ab,Dynamic Fracture and Frictional Faulting.,"Introduction to elastodynamics and waves in solids. Dynamic fracture theory, energy concepts, cohesive zone models. Friction laws, nucleation of frictional instabilities, dynamic rupture of frictional interfaces. Radiation from moving cracks. Thermal effects during dynamic fracture and faulting. Crack branching and faulting along nonplanar interfaces. Related dynamic phenomena, such as adiabatic shear localization. Applications to engineering phenomena and physics and mechanics of earthquakes.",-10,10,-10,10
